pdb_id,resolution,r_free
6i47,1.9,0.2579
6i4a,2.251,0.2812
6i5n,1.98,0.2264
6i63,2.229,0.2062
6i9s,2.48,0.29292
6i9v,2.8,0.259
6i9x,1.6,0.17832
6iaq,1.91,0.2327
6ibt,2.04,0.26001
6ic7,2.0,0.2034
6icd,2.8,
6ici,2.3,0.2144
6icj,2.483,0.282
6id6,1.63,0.1871
6idc,2.007,0.2305
6idy,2.15,0.197
6ifw,2.95,0.29418
6igd,2.5,0.2157
6igi,1.33,0.1864
6igk,2.0,0.2271
6ik9,2.435,0.2252
6ika,2.598,0.232
6ikz,2.33,0.2979
6inb,1.8,0.21914
6inf,1.69,0.20744
6ipn,1.6,0.2361
6ipz,1.576,0.2088
6iqn,2.54,0.28737
6iqz,1.46,0.1696
6irz,2.0,0.21
6itl,1.97,0.2168
6iu0,2.38,0.26995
6ium,2.0,0.2286
6iv7,1.937,0.2377
6ivh,2.5,0.2589
6ivo,2.45,0.23816
6iwk,1.501,0.2071
6ixj,2.8,0.2397
6iy4,1.59,0.218
6iz2,2.069,0.2237
6j1c,2.09,0.1769
6j1e,2.4,0.2411
6j1g,2.5,0.2407
6j1w,1.501,0.2055
6j4q,2.7,0.247
6j57,2.01,0.2174
6j6x,2.962,0.2975
6j7e,2.4,0.2505
6j7m,2.301,0.2416
6j81,1.8,0.2207
6jbi,2.5,0.2838
6jbo,1.88,0.2185
6jcj,2.5,0.28185
6jel,2.3,0.25113
6jgq,2.01,0.1916
6jgv,2.2,0.24983
6jh0,2.403,0.2657
6jik,2.35,0.27505
6jjz,1.65,0.2379
6jkb,2.444,0.2479
6jkn,1.401,0.1842
6jl2,2.3,0.207
6jlm,2.35,0.209
6jls,2.24,0.2315
6jmb,1.389,0.1595
6joh,2.4,0.268
6jp7,1.909,0.2135
6jqa,2.402,0.3025
6jqc,1.8,0.24909
6jqx,1.672,0.1735
6jqz,2.09,0.20343
6jr4,1.798,0.146
6jup,2.44,0.24505
6juw,1.8,0.1884
6jvv,1.51,0.1737
6jys,1.697,0.1876
6jz5,1.58,0.1704
6k0l,1.58,0.193
6k2u,2.554,0.2468
6k31,2.6,0.2414
6k36,2.3,0.2782
6k8h,1.9,0.1938
6k8x,1.59,0.2072
6kaj,2.2249,0.2439
6kay,1.735,0.2519
6kbm,2.902,0.2459
6kcj,2.46,0.2593
6kdq,1.499,0.1803
6ki8,1.79,0.1823
6kko,2.099,0.2777
6km2,0.9,0.1222
6km4,1.15,0.1242
6km6,1.15,0.1336
6kme,1.95,0.2065
6kpb,2.4,0.214
6kuc,2.5,0.2483
6kuz,2.83,0.22431
6kvs,2.3,0.2615
6kx4,2.0,0.2304
6kzu,1.79,0.2361
6l23,1.9744942746,0.228733919588
6l2p,2.3,0.2614
6l2r,2.02,0.2667
6l59,2.254,0.2265
6l69,1.5,0.1928
6l6q,2.601,0.2892
6l7j,1.8,0.1993
6l7l,2.171,0.2472
6l89,2.1,0.2693
6l8f,2.4,0.2234
6l9j,2.642,0.2795
6lc5,1.76,0.1689
6lc9,1.65,0.1942
6ldh,2.0,
6ldk,2.9,0.2394
6ldw,1.6,0.2348
6le2,2.14,0.2287
6lfb,1.99,0.25629
6lg8,1.58,0.1968
6lik,2.4,0.2129
6lj4,1.15,0.1771
6ljl,1.73,0.2028
6lk5,2.5,0.2385
6ll0,2.2,0.2461
6ll8,1.3,0.1216
6loo,1.99,0.2246
6lpg,2.3,0.2362
6lrt,2.9,0.2464
6lrz,1.54,0.2383
6lsh,2.231,0.2445
6lsq,1.8,0.255
6lw4,2.7,0.2985
6lw5,2.8,0.289
6lyj,2.1,0.2163
6lyx,1.696,0.1887
6lzc,1.35,0.1972
6m0a,2.2,0.2329
6m2e,2.6,0.2348
6m3m,2.7,0.2934
6m73,1.7,0.1543
6m75,2.57,0.2358
6m92,2.35,0.2208
6m9g,2.35,0.23938
6m9u,2.2,0.2311
6ma3,2.0,0.2117
6ma5,2.0,0.2104
6mas,1.3,0.1467
6mij,1.955,0.2383
6mjm,2.2,0.248
6mkh,2.62,0.236
6ml0,1.68,0.2441
6mq2,2.5,0.2341
6mqd,1.6,0.191
6mqq,2.05,0.1967
6mrv,1.8,0.2292
6mt4,1.55,0.251
6muq,1.67,0.20354
6mwl,1.5,0.2215
6mxo,2.04,0.22999
6mxt,2.95934213525,0.24486451981
6myb,1.899,0.2501
6myr,2.15,0.238
6mz2,0.83,0.1265
6mzo,1.653,0.1932
6n0u,2.1,0.2331
6n14,1.52169460473,0.169388858906
6n21,2.04,0.21107
6n2s,2.457,0.2896
6n3e,1.893,0.1983
6n54,2.424,0.2273
6n65,1.6,0.2407
6n6o,2.6,0.2439
6n8q,2.2,0.2262
6n95,1.798,0.1922
6na3,1.8,0.242
6na4,1.722,0.1979
6nb8,1.5,0.16714
6nd5,2.6,0.2761
6nfu,2.09,0.2236
6nfv,2.13,0.2428
6ng8,1.9,0.2393
6nhl,2.101,0.2263
6nhu,2.3,0.2227
6ni0,2.3,0.2475
6nii,2.15,0.2321
6nli,1.9,0.2046
6nnc,1.8,0.2043
6nq7,2.5,0.26025
6nqn,2.1,0.204
6nro,1.75,0.2444
6nrw,2.4,0.2444
6nul,1.8,
6nx3,1.87,0.25374
6nxg,1.6,0.17409
6ny8,2.3,0.3041
6o0p,1.8,0.2319
6o11,1.84,0.2162
6o1t,2.3,0.26505
6o2b,2.1,0.2096
6o3c,2.8,0.2944
6o56,1.9,0.253
6o5j,1.63,0.1818
6o89,2.09,0.2222
6o9f,2.48,0.2145
6o9u,2.0,0.2271
6ob8,2.3,0.2514
6obv,2.01,0.2632
6ock,1.9,0.25263
6odc,2.8,0.23577
6oe3,2.9,0.2729
6oed,2.461,0.312
6ofw,1.96,0.219
6ogp,1.53,0.2623
6oi3,1.66,0.2018
6oip,1.8,0.2219
6oir,2.03,0.22073
6ok0,2.174,0.2153
6okh,1.85,0.1997
6ol3,2.74,0.2353
6omi,2.643,0.2529
6omu,1.41,0.226
6ooj,1.4,0.1649
6opz,2.201,0.2684
6orh,1.62,0.2049
6osp,2.21,0.2253
6otd,1.8,0.231
6oum,1.559,0.3035
6ov7,1.71,0.214
6ow4,1.99,0.2384
6ox4,2.294,0.2364
6p00,2.249,0.1998
6p0c,1.55,0.1653
6p12,1.9413185678,0.230071724697
6p1g,2.05,0.2293
6p1i,2.74,0.2365
6p20,1.749,0.1914
6p42,2.905,0.2708
6p6s,2.0,0.2351
6p77,2.501,0.22456
6p7o,1.752,0.1956
6p8k,1.7,0.2175
6p8x,2.11,0.31292
6pa3,1.65,0.1841
6pab,1.73,0.1783
6pcl,1.3,0.1609
6pco,2.75,0.30139
6pe8,2.84,0.2653
6pfy,2.9,0.34306
6pgf,1.54,0.16952
6pgt,2.2,0.2301
6ph9,1.92,0.1994
6pho,1.42,0.189
6phu,2.2,0.2334
6pi1,1.7,0.1989
6pii,1.87,0.18303
6pk1,2.1,0.1661
6pmw,1.748,0.2447
6pn8,1.838,0.2479
6pno,1.82,0.23839
6poi,1.77,0.2064
6pqz,2.23,0.245
6puf,1.92,0.2214
6pui,1.96,0.1999
6pwl,1.67,0.2626
6pwq,2.6,0.239
6px9,2.88,0.3665
6pxn,1.551,0.205
6pxx,1.5,0.1715
6pyd,2.0,0.2764
6pz6,1.7,0.2545
6q2a,2.6,0.3128
6q2u,1.85,0.2161
6q31,1.78,0.2321
6q38,1.74,0.234
6q4h,1.0,0.20663
6q5j,1.69,0.25792
6q7e,1.059,0.2115
6q7g,1.047,0.2009
6q9y,1.2,0.1842
6qbv,2.45,0.2725
6qce,1.9,0.18692
6qff,1.64,0.214
6qft,2.7,0.2869
6qgv,1.4,0.1722
6qj5,2.0,0.2762
6qki,2.04,0.2467
6qm3,2.0,0.215627701203
6qmf,1.771,0.2206
6qn4,2.5,0.2661
6qnz,2.45,0.2432
6qo7,1.628,0.1916
6qom,1.9,0.2296
6qqg,2.149,0.176
6qqz,1.702,0.1961
6qra,1.71,0.2133
6qrb,1.66,0.2095
6qrx,1.17,0.1282
6quv,1.475,0.208
6qw9,1.04,0.1338
6qyo,2.1,0.2207
6qyq,2.25,0.25072
6qz3,1.6,0.178
6qz7,2.2,0.2111
6r1m,1.5,0.18
6r2b,1.96,0.245
6r2v,2.503,0.2469
6r61,1.81,0.20361
6r6i,1.467,0.2185
6r8m,1.85,0.2301
6r8x,2.04,0.2822
6ra8,2.0,0.22111
6rab,1.96,0.25
6rbf,2.704,0.2833
6rco,1.66,0.204
6rcs,2.1,0.223
6rf1,2.8,0.2233
6rf7,2.6,0.2711
6rfe,1.54,0.1975
6rfw,2.183,0.2344
6rfy,2.2,0.2302
6rgb,2.25,0.2306
6rgu,1.75,0.197
6rgx,1.8,0.24309
6rh8,1.9,0.21924
6rir,1.767,0.2105
6rl0,1.78,0.19225
6rlm,2.5,0.267
6rly,2.2,0.22712
6rps,2.79,0.2308
6rsu,2.75,0.3508
6rsw,1.95,0.194
6ru9,1.355,0.1628
6s0m,2.0,0.24161
6s0u,2.15,0.24429
6s1y,2.2,0.2411
6s2t,2.75,0.22
6s33,1.56,0.1976
6s34,1.35,0.1774
6s38,2.15,0.2519
6s3i,2.455,0.3015
6s6m,1.35,0.2679
6sa9,1.8,0.1951
6sbg,2.3,0.2287
6scr,1.8,0.1924
6sdf,2.5,0.2101
6sdn,1.51,0.19
6sdp,1.45,0.1881
6sg2,1.65,0.2121
6sjc,2.23,0.2324
6sjy,2.2,0.207
6smp,2.9,0.258
6smv,2.14,0.2553
6sn1,2.54,0.2437
6sr4,2.3,0.278
6srg,2.558,0.2366
6ss5,1.78,0.2165
6st7,2.45,0.2868
6st8,2.04,0.278
6sti,1.892,0.1718
6stl,1.3,0.183
6stm,1.7,0.2059
6stn,1.75,0.19
6sua,2.75,0.2709
6sum,1.35,0.1762
6sup,2.0,0.32
6svj,1.16,0.19223
6svr,1.16,0.17145
6sw5,2.35,0.2387
6swn,1.28,0.2122
6sx5,2.2,0.248
6szh,1.65,0.212
6t0a,2.02,0.2294
6t1i,1.8,0.2322
6t1v,2.21,0.1955
6t26,2.265,0.2064
6t2z,1.35,0.1828
6t35,1.75,0.1844
6t41,2.45,0.2558
6t46,2.45,0.2621
6t4a,1.31,0.148
6t4e,1.66,0.2113
6t55,1.39,0.1721
6t7j,2.43,
6t8x,2.81,0.2472
6t95,2.5,0.2474
6t9x,2.2,0.2069
6tbl,2.65,0.2422
6tbt,1.63,0.1775
6tcc,1.05,0.1633
6tco,1.8,0.1922
6tcw,1.599,0.1894
6thf,1.47,0.1571
6thm,1.99,0.215
6thw,2.44,0.271
6tiz,2.197,0.2085
6tjr,1.43,0.179
6tju,1.8,0.2464
6tm6,1.63,0.2112
6tma,1.5,0.1939
6tp1,1.94,0.201
6tp8,1.55,0.1921
6ts7,2.63,0.2759
6tse,1.41,0.224
6tsj,2.3,0.2623
6tss,2.18,0.2567
6tsx,2.021,0.2211
6tuv,2.16,0.249
6tvr,2.63,0.2636
6tvs,1.9,0.2499
6tvw,1.45,0.2983
6twf,2.5,0.2618
6twm,2.5,0.2623
6tww,1.38,0.1659
6txd,2.0,0.2352
6u07,1.76,0.2261
6u0e,2.106,0.2354
6u5c,1.62,0.1569
6u6v,1.9,0.2498
6u6w,1.2,0.179
6u71,1.47,0.199
6u85,2.78,0.2592
6u9n,1.95,0.248
6uao,1.63,0.1804
6uap,2.745,0.2114
6ubd,1.25,0.1881
6ubv,2.7,0.2497
6ueq,2.4,0.2487
6ufo,2.68,0.2346
6uh0,1.306,0.1639
6uid,1.45,0.1983
6uss,2.5,0.2402
6usz,2.03,0.2257
6ut9,1.21,0.2113
6utm,2.14,0.199
6utn,1.79,0.1986
6uxf,1.65,0.1843
6uxh,1.858,0.2312
6v2l,1.7,0.2083
6v5m,1.5,0.1674
6v6h,2.55,0.2166
6v98,1.8,0.2166
6vaj,1.42,0.2143
6vb9,1.881,0.2276
6vbi,2.30000752706,0.252496556648
6vcy,1.82,0.2091
6vdn,2.15,0.234
6vdu,1.98,0.2608
6veb,2.55,0.245
6vgf,1.83,0.243
6vi5,1.604,0.2291
6vi7,2.617,0.2895
6vii,2.0,0.2283
6vj8,2.3,0.25225
6vjc,1.8,0.1994
6vjh,2.55,0.2466
6vnf,2.06,0.2221
6vny,2.3,0.2292
6vos,2.299,0.2113
6vpa,1.5,0.1715
6vpw,1.9,0.2253
6vr2,1.77,0.1924
6vs4,2.4,0.235
6vs5,1.758,0.2556
6vtz,2.65,0.2456
6vu4,2.077,0.2705
6vvr,1.8,0.2054
6vw1,2.68,0.2288
6vwo,1.78,0.2048
6vwz,2.488,0.2112
6vzl,2.07,0.2886
6w1w,2.58,0.2858
6w2j,2.62,0.2503
6w30,2.1,0.2388
6w65,2.13,0.2247
6w6b,1.4,0.1487
6w6d,1.91,0.2094
6w79,1.46,0.1773
6w9z,2.7,0.2755
6wag,2.575,0.2986
6wak,2.4,0.2295
6wan,2.4,0.2396
6wbs,1.857,0.2127
6wdp,2.01,0.2417
6we9,1.59,0.2456
6wh8,1.729,0.1999
6wi2,1.95,0.1849
6wjh,2.19,0.2461
6wjm,1.0,0.1406
6wm5,1.961,0.277
6wmq,2.55,0.2704
6wn4,2.8,0.2427
6wn9,1.55,0.1923
6wo5,2.619,0.2499
6wo7,1.4,0.168
6wp7,2.4,0.2754
6wrh,1.6,0.1643
6wsh,2.12,0.2405
6wui,1.9,0.2095
6wv7,2.483,0.2447
6wvh,1.99,0.215
6wx9,2.8,0.2506
6wxm,2.3,0.2185
6x5t,2.47,0.2003
6x6w,1.89,0.226
6x8f,2.15,0.2549
6x8u,1.55,0.1804
6x9b,1.46,0.22
6xb1,1.8,0.2019
6xbe,1.8,0.2228
6xd0,2.012,0.1935
6xds,1.466,0.2082
6xe1,2.75,0.2394
6xe3,1.55,0.2357
6xew,2.0,0.2141
6xfc,2.756,0.2423
6xh1,2.601,0.2549
6xhe,1.88,0.26463
6xjt,2.406,0.2461
6xkm,2.25,0.2126
6xl3,2.33,0.2202
6xng,2.79,0.277
6xnr,2.05,0.2509
6xnu,1.62,0.221
6xnw,1.9,0.1861
6xo2,1.6,0.1895
6xog,1.98,0.24
6xp2,2.3,0.2473
6xp8,1.65,0.2339
6xpj,1.5,0.1841
6xrq,1.21,0.217
6xsd,2.54,0.2332
6xtf,2.23,0.2315
6xts,1.2,0.2159
6xum,0.97,0.1279
6xv7,1.668,0.2035
6xvg,2.1,0.2298
6xvh,1.8,0.2451
6xw5,1.72,0.1911
6xxl,1.69,0.1793
6xy9,2.2,0.2354
6xya,1.35,0.1768
6xyd,1.81,0.216
6xzo,1.44,0.2164
6xzs,1.53,0.2184
6xzz,1.39,0.2057
6y2a,1.25,0.1549
6y44,1.71,0.2019
6y4y,1.75,0.2274
6y5m,2.011,0.1947
6y6z,1.7,0.2496
6y71,1.64,0.211
6y7m,1.9,0.2576
6y7x,1.45,0.2294
6y8p,2.3,0.2767
6y9j,1.1,0.1669
6y9r,2.08,0.2261
6y9t,2.78,0.3365
6ya8,1.79,0.197
6ycn,1.83,0.179
6ye0,1.63,0.2002
6yeb,1.97,0.2192
6yei,2.02,0.196
6yg1,2.22,0.2317
6ygy,1.52,0.1823
6yjo,2.38,0.2376
6yki,1.3,0.21
6ykt,2.32,0.237
6ylb,2.12,0.2627
6yme,1.77,0.1747
6yo9,2.4,0.2274
6yoy,1.8,0.2338
6yp6,0.97,0.1719
6yr1,2.3,0.2792
6yrs,1.7,0.2084
6yrw,2.5,0.2265
6ysw,2.82,0.2544
6yu1,1.9,0.2029
6yu9,1.904,0.2026
6yve,2.1,0.2263
6ywt,1.05,0.1391
6z3o,1.74,0.2274
6z4n,1.2,0.1787
6z5v,2.33,0.2258
6z63,1.57,0.2152
6z7c,1.64,0.2158
6z8j,1.09,0.164
6z8n,2.803,0.2986
6z91,2.6,0.2618
6z9n,2.73,0.2666
6zbx,1.35,0.178
6zco,1.361,0.1962
6zd8,1.5,0.2153
6zew,1.38,0.1811
6zf3,1.28,0.1632
6zg3,2.8,0.2764
6zgo,1.79,0.225
6zgv,2.3,0.2458
6zhw,2.8,0.1925
6zi7,2.28,0.24656
6zic,2.2,0.2338
6zii,2.5,0.2777
6znr,2.217,0.2308
6znt,1.96,0.2109
6zo8,2.5,0.2488
6zr7,1.85,0.228
6zrd,2.5,0.2823
6zs1,1.56,0.2044
6zs2,1.57,0.215317979354
6zsq,2.004,0.2241
6zsu,2.0,0.2018
6zt1,2.01,0.2612
6ztv,1.78,0.2285
6zub,1.08,0.1499
6zvq,2.03,0.2101
6zw9,1.759,0.1885
6zwc,2.04,0.2815
6zwh,1.5,0.1805
6zxc,2.8,0.28813
6zy0,2.13,0.2223
6zyj,1.85,0.2473
7a1x,1.32,0.1739
7a37,1.52,0.1794
7a40,2.297,0.2539
7a4y,2.157,0.2285
7a74,1.6,0.18785
7a7t,1.58,0.1967
7a83,1.73,0.1924
7a9m,1.62,0.19
7a9u,1.444,0.21
7aah,1.4,0.1857
7aaj,1.8,0.2944
7aas,1.8,0.2045
7adv,2.65,0.2191
7agm,1.35,0.1806
7ah5,2.9,0.2922
7ahu,2.6,0.2633
7ajr,1.75,0.2399
7akf,2.6,0.2587
7alb,1.979,0.2245
7alm,2.8,0.2615
7am6,2.7,0.2523
7am9,0.99,0.139
7an9,2.11,0.2556
7ao0,1.93,0.2376
7at1,2.8,
7at4,1.7,0.1908
7auy,2.28,0.2385
7av5,1.97,0.2144
7avl,1.718,0.2693
7aw0,1.893,0.233
7awx,2.2,0.303
7axi,2.15,0.2025
7axv,1.79,0.2314
7ays,2.1,0.2602
7b10,1.92,0.2094
7b3g,1.28,0.2151
7b3x,1.34,0.2035
7b4h,1.39,0.2004
7b4v,1.4,0.1959
7b76,2.7,0.3116
7ba1,1.93,0.2639
7bab,1.3,0.2011
7bb8,1.506,0.176
7bd7,1.5,0.1851
7bdf,1.4,0.215
7bf6,2.15,0.2258
7bf8,1.8,0.2215
7bfd,2.57,0.2972
7bfy,1.5,0.1778
7bi6,2.75,0.2891
7bio,1.795,0.2042
7bir,2.02,0.243
7bj4,2.72,0.2253
7bk3,2.0,0.2245
7bk6,2.15,0.2634
7bm0,1.9,0.2294
7bm5,2.95,0.2897
7bmh,2.2,0.2847
7bms,1.75,0.2093
7bmu,1.9,0.2241
7bmx,1.9,0.2164
7bnv,2.35,0.2646
7boc,2.55,0.2512
7bon,1.48,0.1885
7bor,1.901,0.2259
7bq5,2.99,0.2754
7bs6,1.04,0.1619
7bsf,1.1,0.0833
7bsg,2.19,0.2466
7btg,2.188,0.2536
7buj,2.13,0.2784
7bwf,1.7,0.2296
7bwn,2.396,0.2386
7bxq,2.49,0.2577
7c0l,1.85,0.2227
7c2a,1.18,0.1827
7c2y,1.91,0.261688497256
7c4h,1.83,0.1949
7c4l,2.6,0.2772
7c5e,1.75,0.2449
7c6d,1.451,0.16
7c7i,2.28,0.2465
7c83,2.0,0.233
7cb3,2.31,0.21743
7cch,2.848,0.2838
7ccx,1.84,0.2472
7cdu,1.8,0.2417
7cf6,2.75,0.2783
7cfy,2.4051,0.3067
7clt,2.07380981063,0.228935335343
7cm0,2.2,0.3346
7cno,2.5,0.239
7cow,2.86,0.2971
7cqt,2.8,0.267
7cs5,2.18993226397,0.220195378149
7csf,1.98241803828,0.218598194837
7cvr,1.6,0.2385
7cwz,2.97,0.2935
7cx8,1.7,0.2168
7cy3,1.27,0.1768
7cy9,1.36,0.1659
7czc,2.0,0.2327
7d1b,1.24,0.1254
7d27,2.48,0.2598
7d2g,1.7,0.2625
7d3d,1.45,0.189
7d53,1.6,0.202
7d8i,1.62,0.1963
7d8j,2.88,0.2568
7d9g,2.4,0.2465
7dbi,1.99,0.1937
7dct,2.36,0.2236
7dds,2.3,0.2575
7dfc,2.49,0.284
7dfm,2.4,0.2449
7dfy,1.69,0.2587
7dg0,1.895,0.2091
7dg7,1.604,0.2273
7dgw,1.35,0.2267
7dh1,1.85,0.1987
7dis,1.901,0.2052
7djx,1.98,0.21649
7ds0,1.69,0.2087
7dso,2.34,0.2388
7dt1,2.4300227139,0.256481915017
7du0,1.96,0.2952
7due,1.799,0.2062
7dux,1.981,0.2197
7dv6,2.39,0.22391
7dvb,2.05,0.2585
7dy5,2.3,0.252
7e22,2.63,0.2066
7e29,2.303,0.2288
7e2v,2.94,0.3082
7e3u,2.159,0.2301
7e4w,2.9,0.2776
7e5j,1.71,0.1823
7e6v,1.832,0.249
7e7c,1.84,0.2513
7ebp,1.80000050381,0.20891334749
7ebu,1.95,0.2445
7edo,2.7,0.2387
7edu,2.3,0.2292
7eem,2.593,0.2435
7efy,2.8,0.2338
7ehr,1.33,0.176
7eil,1.7,0.2124
7eir,1.92,0.2104
7ejr,1.451,0.2075
7ekn,2.14,0.2605
7emq,1.5,0.1648
7ep5,2.02,0.2325
7eqj,2.043,0.236
7esq,1.85,0.2041
7eun,1.28,0.1383
7evk,1.75,0.1826
7eyr,2.12,0.2513
7ezz,2.76,0.2717
7f01,1.63,0.2421
7f0s,2.6,0.2884
7f15,2.65,0.2455
7f17,2.8,0.2406
7f1k,1.05,0.1717
7f2b,2.0,0.2135
7f3n,2.35185590332,0.231361943868
7f8c,2.248,0.2573
7fa3,1.847,0.220288267463
7fdr,1.4,
7fe6,2.5,0.242
7fhm,1.8,0.1893
7fit,2.75,0.2543
7fjt,1.4,0.1866
7fk1,1.76,0.31524
7fkh,1.44,0.2346
7fku,1.55,0.2467
7fm2,1.72,0.3186
7fno,1.65,0.2483
7fo1,1.5,0.2257
7fom,1.51,0.2348
7fp9,1.9,0.306
7fpj,1.59,0.2613
7fpl,1.17,0.1653
7fpv,1.04,0.145
7fqi,1.45,0.1891
7fqu,1.86,0.2229
7fr6,1.0,0.1625
7frv,2.004,0.2319
7fry,1.958,0.2228
7fty,2.3,0.29
7ful,2.296,0.2732
7fuw,1.19,0.1868
7fw3,1.08,0.1798
7fw6,1.04,0.1812
7fw9,1.0,0.1721
7fxp,1.05,0.1656
7fyc,1.08,0.1823
7fyg,0.94,0.1594
7g0n,1.12,0.1435
7g1k,1.12,0.1623
7g20,1.12,0.1675
7g2f,2.32,0.2506
7g2k,1.84,0.2236
7g3c,1.68,0.2049
7g3y,1.62,0.207
7g42,2.07,0.2321
7g45,1.8,0.2706
7g4a,2.67,0.2941
7g4f,2.06,0.2318
7g4k,1.85,0.2423
7g56,1.9,0.2333
7g57,2.28,0.2508
7g59,2.03,0.241
7g5y,1.52,0.2027
7gaa,2.03,0.2485
7gaj,1.89,0.2289
7gb3,1.379,0.2064
7gb7,1.55,0.2053
7gcz,1.512,0.2278
7gfa,1.971,0.2628
7gft,1.639,0.2358
7gfw,1.569,0.2142
7ghp,1.54,0.2471
7gj6,2.03,0.2665
7gj7,1.88,0.2491
7gj9,2.09,0.2993
7gjv,2.09,0.2749
7gjx,2.06,0.2913
7gmt,1.738,0.2467
7gnd,1.655,0.2383
7gnq,1.531,0.2235
7goc,1.56,0.26899
7gon,1.39,0.21702
7gpa,1.25,0.19791
7gq2,1.35,0.20563
7gsb,1.72,0.2249
7gtp,2.47,0.2522
7gum,1.8,0.212
7guv,1.75,0.209
7gv2,1.75,0.203
7gv8,1.85,0.199
7gvj,1.85,0.203
7gvl,1.85,0.205
7gvy,1.9,0.213
7gxf,1.95,0.201
7gy2,1.85,0.221
7gz7,1.293,0.2021
7gzm,1.16,0.2096
7gzq,1.43,0.2425
7h02,1.15,0.1884
7h1f,1.15,0.205
7h1n,1.407,0.2537
7h2c,1.399,0.2489
7h2g,1.25,0.2299
7h3r,1.06,0.21951
7h4u,1.86,0.25176
7h4y,2.75,0.25384
7h5h,1.89,0.2146
7h5j,2.0,0.2144
7h6d,1.64,0.17343
7h6n,1.52,0.2127
7h7h,1.5,0.21041
7h8c,1.52,0.21805
7h8k,1.54,0.23125
7h8s,1.5,0.21491
7ha2,1.73,0.2029
7had,1.59,0.1906
7hd7,1.02,0.1567
7hdc,1.0,0.159
7hdg,0.98,0.16
7hdt,1.02,0.1539
7hdw,1.0,0.1706
7hf3,0.99,0.1651
7hfj,0.99,0.16
7hfv,0.99,0.1888
7hgg,1.61,0.25555
7hh0,1.6,0.24357
7hhb,1.78,0.2532
7hhc,1.59,0.2602
7hhi,2.11,0.33437
7hiz,1.3,0.2475
7hka,2.07,0.2027
7hkc,1.74,0.22652
7hkg,1.6,0.21964
7hl9,1.65,0.23126
7hlh,1.38,0.1951
7hmd,1.29,0.1907
7hmw,1.34,0.207
7hnd,1.34,0.2038
7hnr,1.3,0.2019
7hnw,1.21,0.1909
7ho1,1.17,0.1928
7hoi,1.61,0.2651
7hoj,1.39,0.2501
7hor,1.81,0.26712
7hse,1.881,0.2766
7hsk,1.79,0.30955
7hsm,2.239,0.2989
7ht0,2.32,0.2935
7hv8,1.415,0.2354
7hvd,1.523,0.2893
7hvu,1.429,0.218
7hw0,1.576,0.2626
7hwa,1.381,0.2203
7hy2,1.68,0.2401
7hya,1.802,0.2732
7hyc,1.702,0.2292
7hzs,1.23,0.20573
7i11,1.84,0.2655
7i12,1.94,0.2716
7i1g,1.83,0.24221
7i2j,1.98,0.2272
7i3o,1.686,0.2573
7eq3,2.87,0.247
7i3q,1.49,0.2088
7i3r,1.41,0.1926
7i4o,1.623,0.2859
7i59,1.94,0.2642
7i5a,1.449,0.2476
7i62,1.654,0.3129
7i6n,1.385,0.2374
7i6t,1.743,0.2201
7i6w,1.31,0.1998
7i74,1.59,0.2416
7i7c,1.27,0.2219
7i9r,2.603,0.2911
7i9s,1.718,0.2659
7ib0,1.6,0.2089
7ic4,1.6,0.24165
7icq,2.9,
7idk,1.9,0.24169
7idq,1.77,0.23741
7idy,1.6,0.24768
7iee,1.95,0.24653
7iep,1.28,0.1843
7ies,1.09,0.1814
7iez,1.12,0.20018
7ift,1.08,0.1699
7iif,1.17,0.1665
7ijp,1.22,0.206
7ik5,1.199,0.2241
7ik8,1.151,0.192
7iqf,1.45,0.24675
7iqj,1.56,0.26296
7irf,1.13,0.28868
7ise,1.24,0.26044
7isp,1.56,0.24085
7isw,1.67,0.26904
7jg3,2.091,0.2327
7jgt,1.9,0.2335
7jgv,2.05,0.2459
7jhz,2.68,0.263
7jin,2.909,0.2417
7jir,2.09,0.1998
7jjm,2.06,0.259
7jli,1.8,0.2123
7jnv,1.49,0.1961
7jny,1.88,0.2244
7jqa,1.53,0.2207
7jqi,2.4,0.1966
7jqu,2.611,0.2811
7jqw,1.7,0.2303
7jrb,2.493,0.246
7jsd,2.5,0.2285
7jty,2.21,0.2027
7jtz,2.07,0.2381
7ju6,2.06,0.249
7jwe,2.55,0.2529
7jwx,2.38,0.2554
7jxd,2.5,0.2594
7jxo,2.81,0.3201
7jzf,1.82,0.17378
7k1a,1.75,0.2401
7k4p,1.08,0.213
7k4w,1.9,0.2546
7k75,2.5,0.2356
7k9n,2.07,0.1946
7k9z,2.95,0.2871
7kbo,2.2,0.2253
7kbs,1.834,0.2097
7kc9,2.301,0.2377
7kd5,1.551,0.1887
7kdn,2.8,0.2462
7kdr,1.488,0.2006
7ki9,1.25,0.1648
7kjc,2.3,0.2257
7kkd,1.6,0.1818
7kki,1.6,0.2158
7kmu,1.51,0.202
7kmy,2.21,0.2185
7kpi,1.7,0.1957
7kqp,0.88,0.1233
7kqr,1.89,0.2073
7kwx,2.42,0.2727
7kx0,2.69,0.236
7ky1,1.50003347687,0.2131036866
7kyl,2.0,0.224
7kyw,2.3,0.2415
7l3m,2.07,0.186
7l3r,1.01,0.1389
7l4x,1.79,0.232
7l4y,1.79,0.2397
7l9g,1.36,0.1722
7l9z,1.3,0.1463
7la1,1.6,0.1935
7lbk,2.7,0.253
7lbp,2.6,0.2472
7ldi,1.2,0.1373
7ldt,2.6,0.2385
